username,repo_name,stars,repo_url
crystal-lang,crystal,17600,https://github.com/crystal-lang/crystal
kemalcr,kemal,3300,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,3000,https://github.com/veelenga/awesome-crystal
amberframework,amber,2400,https://github.com/amberframework/amber
luckyframework,lucky,2300,https://github.com/luckyframework/lucky
ffwff,lilith,1100,https://github.com/ffwff/lilith
hkalexling,Mango,1100,https://github.com/hkalexling/Mango
drujensen,fib,783,https://github.com/drujensen/fib
amethyst-framework,amethyst,644,https://github.com/amethyst-framework/amethyst
askn,crystal-by-example,520,https://github.com/askn/crystal-by-example
crystal-community,icr,482,https://github.com/crystal-community/icr
will,crystal-pg,420,https://github.com/will/crystal-pg
crystal-ameba,ameba,416,https://github.com/crystal-ameba/ameba
stefanwille,crystal-redis,372,https://github.com/stefanwille/crystal-redis
imdrasil,jennifer.cr,363,https://github.com/imdrasil/jennifer.cr
vim-crystal,vim-crystal,372,https://github.com/vim-crystal/vim-crystal
Crecto,crecto,340,https://github.com/Crecto/crecto
crystal-lang,crystal-book,339,https://github.com/crystal-lang/crystal-book
cooperhammond,irs,329,https://github.com/cooperhammond/irs
crystal-lang-tools,scry,326,https://github.com/crystal-lang-tools/scry
oprypin,crsfml,313,https://github.com/oprypin/crsfml
Hentioe,policr,297,https://github.com/Hentioe/policr
iGenius-Srl,IGColorPicker,267,https://github.com/iGenius-Srl/IGColorPicker
anykeyh,clear,260,https://github.com/anykeyh/clear
samueleaton,sentry,267,https://github.com/samueleaton/sentry
amberframework,granite,260,https://github.com/amberframework/granite
crystal-community,crystal-patterns,260,https://github.com/crystal-community/crystal-patterns
crystal-lang,crystal-db,250,https://github.com/crystal-lang/crystal-db
costajob,app-servers,251,https://github.com/costajob/app-servers
tbrand,router.cr,249,https://github.com/tbrand/router.cr
